Approach,Videos/Class,Test Acc,Val Acc,Trainable Params,% Trainable,Training Time (min)
Head+Only,100,0.8333,0.8167,"4,100",0.00%,15.8
Head+Only,200,0.7833,0.8000,"4,100",0.00%,34.1
Head+Only,400,0.8167,0.7958,"4,100",0.00%,72.9
Lora,100,0.8167,0.8667,"495,620",0.13%,17.5
Lora,200,0.8417,0.8667,"495,620",0.13%,38.2
Lora,400,0.8875,0.8667,"495,620",0.13%,80.3
Pooler+Head,100,0.7667,0.8833,"49,340,420",13.15%,18.2
Pooler+Head,200,0.8833,0.8833,"49,340,420",13.15%,38.5
Pooler+Head,400,0.8208,0.8792,"49,340,420",13.15%,77.3
Pooler+Head+Lora,50,0.8000,0.8333,"49,831,940",13.26%,10.2
Pooler+Head+Lora,100,0.8833,0.8500,"49,831,940",13.26%,20.6
Pooler+Head+Lora,200,0.8250,0.8333,"49,831,940",13.26%,38.8
Pooler+Head+Lora,400,0.8667,0.8542,"49,831,940",13.26%,86.5
