Metric,75 Videos,150 Videos,300 Videos
Training Videos,75,150,300
Validation Videos,30,30,30
Test Videos,75,75,75
Total Parameters,"375,809,418","375,809,418","375,809,418"
Trainable Parameters,"501,770","501,770","501,770"
Final Test Accuracy,0.3333,0.5467,1.0000
Best Validation Accuracy,0.3000,0.5000,1.0000
Final Training Loss,0.1992,0.1851,0.1996
Total Training Time,279s (4.6m),490s (8.2m),908s (15.1m)
Training Time per Video,3.71s,3.27s,3.03s
Test Accuracy per Training Video,4.444,3.644,3.333
